title,link,date
Precomputed Atmospheric Scattering,https://hal.inria.fr/inria-00288758/document,2019/06/06
Alloy,http://alloytools.org/,2019/06/06
AVL Tree Tutorial,http://eternallyconfuzzled.com/tuts/datastructures/jsw_tut_avl.aspx,2019/06/06
Continuous Distance-Dependent Level of Detail for Rendering Heightmaps (CDLOD),http://www.vertexasylum.com/downloads/cdlod/cdlod_latest.pdf,2019/06/06
Investing Advice Inspired by Jack Bogle,https://www.bogleheads.org/wiki/Getting_started,2019/06/06
"Perl, the first postmodern computer language",http://www.wall.org/~larry/pm.html,2019/06/06
Cache Oblivious Algorithms and Data Structures,http://erikdemaine.org/papers/BRICS2002/paper.pdf,2019/06/06
Efficient generation of simple polygons for characterizing the shape of a set of points in the plane,http://www.geosensor.net/papers/duckham08.PR.pdf,2019/06/06
Computational Geometry - Algorithms and Applications,"http://people.inf.elte.hu/fekete/algoritmusok_msc/terinfo_geom/konyvek/Computational%20Geometry%20-%20Algorithms%20and%20Applications,%203rd%20Ed.pdf",2019/06/06
Software Verification: Model Checking vs. Testing,https://www.sosy-lab.org/research/pub/2017-HVC.Software_Verification_Testing_vs_Model_Checking.pdf,2019/06/06
R-trees with Voronoi Diagrams for Efficient Processing of Spatial Nearest Neighbor Querie,https://infolab.usc.edu/papers/VorTree.pdf,2019/06/06
Collection of good talks/videos,https://lobste.rs/s/0qkuol/what_are_your_favorite_videos,2019/06/06
How to remember everything you'll ever learn,https://www.wired.com/2008/04/ff-wozniak/?currentPage=all,2019/06/06
Traditional assignment considered harmful,http://web.cse.ohio-state.edu/rsrg/documents/2009/09PHABKW.pdf,2019/06/06
Some thoughts on security after ten years of qmail 1.0,https://cr.yp.to/qmail/qmailsec-20071101.pdf,2019/06/06
The Sound of Space-Filling Curves,http://www.win.tue.nl/~hermanh/doku.php?id=sound_of_space-filling_curves,2019/06/06
Finite and Infinite Games,http://wtf.tw/ref/carse.pdf,2019/06/06
Write-up: Out of the tar-pit,https://blog.acolyer.org/2015/03/20/out-of-the-tar-pit/,2019/06/06
Divisibility by 7 is a walk on a Graph,http://blog.tanyakhovanova.com/2010/08/divisibility-by-7-is-a-walk-on-a-graph-ii-2/,2019/06/06
Mental maths prime factorisation,http://exupero.org/hazard/post/prime-modulo/,2019/06/06
Maths reading list,https://www.maths.cam.ac.uk/sites/www.maths.cam.ac.uk/files/pre2014/undergrad/admissions/readinglist.pdf,2019/02/01
Perlin Noise Explanation,https://eev.ee/blog/2016/05/29/perlin-noise/,2019/02/01
"David MacKay: Information Theory, Inference, and Learning Algorithms",http://www.inference.eng.cam.ac.uk/mackay/itila/book.html,2019/02/01
Fast Computation of Generalized Voronoi Diagrams Using Graphics Hardware,https://wwwx.cs.unc.edu/~geom/papers/documents/technicalreports/tr99011.pdf,2019/02/01
Groups &mdash; A Primer,http://jeremykun.com/2012/12/08/groups-a-primer/,2019/02/01
"Word numbers, Part 1: Billion Approaches",http://conway.rutgers.edu/~ccshan/wiki/blog/posts/WordNumbers1/,2019/02/01
The True Power of Regular Expressions,http://nikic.github.io/2012/06/15/The-true-power-of-regular-expressions.html,2019/06/06
